i,t_epoch,t_rel,filtered_position_deg,measured_position_deg,filtered_delta_deg,measured_delta_deg,velocity_deg_per_sec,raw_velocity_deg_per_sec,pending_confirmation,glitch_rejected,raw_position_deg,pos_estimate,vel_estimate,error
355,1782788581.278275,18.397694831946865,16.290746760442993,16.28365625,-0.0057693407688930165,0.0,0.0,5.700317770242691,False,False,16.34765625,0.04541015625,0.01583421602845192,
356,1782788581.32981,18.449194630840793,16.288423909221873,16.28365625,-0.002322851221123301,0.0,0.0,0.04621848464012146,False,False,16.34765625,0.04541015625,0.00012838467955589294,
357,1782788581.3813152,18.500864282017574,16.286862024060788,16.28365625,-0.0015618851610952333,0.0,0.0,0.03816917538642883,False,False,16.34765625,0.04541015625,0.00010602548718452454,
358,1782788581.4329782,18.552588284946978,16.285811812478467,16.28365625,-0.0010502115823101121,0.0,0.0,2.0578665286302567,False,False,16.34765625,0.04541015625,0.005716295912861824,
359,1782788581.4847016,18.604254954028875,16.28510565021052,16.28365625,-0.0007061622679316315,0.0,0.0,0.03816381096839905,False,False,16.34765625,0.04541015625,0.00010601058602333069,
360,1782788581.536391,18.656041585840285,16.284630826701555,16.28365625,-0.00047482350896643766,0.0,0.0,1.271979957818985,False,False,16.34765625,0.04541015625,0.0035332776606082916,
361,1782788581.588209,18.707702033920214,16.300131867874125,16.371546875,0.015501041172569785,0.087890625,0.0,1.819150596857071,False,False,16.435546875,0.045654296875,0.0050531961023807526,
362,1782788581.6398163,18.759367406833917,16.323527424208564,16.371546875,0.02339555633443524,0.0,0.0,3.5035714879631996,False,False,16.435546875,0.045654296875,0.009732143022119999,
363,1782788581.6914825,18.810976095031947,16.339258596287838,16.371546875,0.01573117207928476,0.0,0.0,9.050363972783089,False,False,16.435546875,0.045654296875,0.02513989992439747,
364,1782788581.7430909,18.86344924592413,16.349836236393944,16.371546875,0.0105776401061064,0.0,0.0,2.5325819849967957,False,False,16.435546875,0.045654296875,0.007034949958324432,
365,1782788581.7955632,18.91513130394742,16.32815567285129,16.28365625,-0.02168056354264536,-0.087890625,0.0,0.3546275943517685,False,False,16.34765625,0.04541015625,0.0009850766509771347,
366,1782788581.8472455,18.9667949359864,16.31357766192521,16.28365625,-0.014578010926072693,0.0,0.0,0.03812626004219055,False,False,16.34765625,0.04541015625,0.00010590627789497375,
367,1782788581.8989093,19.018468179972842,16.30377540737851,16.28365625,-0.009802254546684708,0.0,0.0,0.03812626004219055,False,False,16.34765625,0.04541015625,0.00010590627789497375,
368,1782788581.9505813,19.070161200826988,16.297184371421313,16.28365625,-0.00659103595720012,0.0,0.0,0.046172887086868286,False,False,16.34765625,0.04541015625,0.00012825801968574524,
369,1782788582.0022764,19.122264740988612,16.292752558843695,16.28365625,-0.004431812577621486,0.0,0.0,0.046172887086868286,False,False,16.34765625,0.04541015625,0.00012825801968574524,
370,1782788582.0543938,19.174619965953752,16.2897726080665,16.28365625,-0.002979950777188378,0.0,0.0,0.04348933696746826,False,False,16.34765625,0.04541015625,0.00012080371379852295,
371,1782788582.1067357,19.22631745086983,16.287768889163914,16.28365625,-0.0020037189025856605,0.0,0.0,3.9970607310533524,False,False,16.34765625,0.04541015625,0.011102946475148201,
372,1782788582.158432,19.27819995302707,16.28642158857382,16.28365625,-0.0013473005900834778,0.0,0.0,0.04348531365394592,False,False,16.34765625,0.04541015625,0.00012079253792762756,
373,1782788582.2103148,19.329859492834657,16.285515663657034,16.28365625,-0.0009059249167933103,0.0,0.0,0.046162158250808716,False,False,16.34765625,0.04541015625,0.00012822821736335754,
374,1782788582.2619743,19.381402218015864,16.284681471189252,16.28365625,-0.0008341924677779389,0.0,0.0,0.0354333221912384,False,False,16.34765625,0.04541015625,9.842589497566223e-05,
375,1782788582.3135173,19.432912294985726,16.28434560872765,16.28365625,-0.0003358624616112138,0.0,0.0,1.3899488747119904,False,False,16.34765625,0.04541015625,0.0038609690964221954,
376,1782788582.3650267,19.484494296833873,16.312912743558474,16.371546875,0.02856713483083695,0.087890625,0.0,-0.0825899199116975,False,False,16.435546875,0.045654296875,-0.00022941644419915974,
377,1782788582.4166102,19.536149558844045,16.316300972518714,16.28365625,0.003388228960233164,-0.087890625,0.0,-0.8872734010219574,False,False,16.34765625,0.04541015625,-0.002464648336172104,
378,1782788582.4682631,19.587721542920917,16.305606561421584,16.28365625,-0.010694411097119882,0.0,0.0,1.145835667848587,False,False,16.34765625,0.04541015625,0.003182876855134964,
379,1782788582.520309,19.640047564869747,16.29841563939987,16.28365625,-0.00719092202172078,0.0,0.0,0.04613131284713745,False,False,16.34765625,0.04541015625,0.00012814253568649292,
380,1782788582.5721622,19.69167477102019,16.293580463432473,16.28365625,-0.004835175967400573,0.0,0.0,0.04344239830970764,False,False,16.34765625,0.04541015625,0.00012067332863807678,
381,1782788582.6237893,19.74335701484233,16.29032929111199,16.28365625,-0.003251172320489104,0.0,0.0,0.33580318093299866,False,False,16.34765625,0.04541015625,0.000932786613702774,
382,1782788582.6754732,19.795112018007785,16.288143202843703,16.28365625,-0.0021860882682744887,0.0,0.0,9.315839633345604,False,False,16.34765625,0.04541015625,0.0258773323148489,
383,1782788582.7272263,19.84699331689626,16.286673277092106,16.28365625,-0.001469925751592882,0.0,0.0,0.04343099892139435,False,False,16.34765625,0.04541015625,0.00012064166367053986,
384,1782788582.7791116,19.898919930914417,16.30150521151673,16.371546875,0.014831934424620385,0.087890625,0.0,0.013921335339546204,False,False,16.435546875,0.045654296875,3.86703759431839e-05,
385,1782788582.8310363,19.950741432840005,16.324450860473846,16.371546875,0.022945648957119147,0.0,0.0,-0.08264825795777142,False,False,16.435546875,0.045654296875,-0.00022957849432714283,
386,1782788582.8828924,20.002527694916353,16.33987951483261,16.371546875,0.01542865435877161,0.0,0.0,3.3237458020448685,False,False,16.435546875,0.045654296875,0.009232627227902412,
387,1782788582.9347317,20.054391716839746,16.350253742023444,16.371546875,0.010374227190823149,0.0,0.0,2.363504245877266,False,False,16.435546875,0.045654296875,0.006565289571881294,
388,1782788582.986595,20.106278941966593,16.357229372386563,16.371546875,0.006975630363115215,0.0,0.0,0.6710149347782135,False,False,16.435546875,0.045654296875,0.0018639303743839264,
389,1782788583.0383942,20.157966369995847,16.361919786242726,16.371546875,0.004690413856167197,0.0,0.0,-0.08269184385426342,False,False,16.435546875,0.045654296875,-0.00022969956626184285,
390,1782788583.0900817,20.209600483998656,16.36507362051961,16.371546875,0.003153834276872658,0.0,0.0,4.589705541729927,False,False,16.435546875,0.045654296875,0.012749182060360909,
391,1782788583.141716,20.26122724590823,16.328547182748657,16.28365625,-0.03652643777095932,-0.087890625,0.0,0.043355897068977356,False,False,16.34765625,0.04541015625,0.00012043304741382599,
392,1782788583.1933393,20.3129516558256,16.329661225680194,16.371546875,0.0011140429315332767,0.087890625,0.0,3.0903419852256775,False,False,16.435546875,0.045654296875,0.008584283292293549,
393,1782788583.245066,20.36468260292895,16.32756265189736,16.28365625,-0.0020985737828311812,-0.087890625,0.0,1.8484778702259064,False,False,16.34765625,0.04541015625,0.005134660750627518,
394,1782788583.2968004,20.41666553192772,16.313178914635785,16.28365625,-0.01438373726156783,0.0,0.0,0.035299211740493774,False,False,16.34765625,0.04541015625,9.805336594581604e-05,
395,1782788583.348781,20.468427849002182,16.303507289701102,16.28365625,-0.009671624934696865,0.0,0.0,0.035305917263031006,False,False,16.34765625,0.04541015625,9.807199239730835e-05,
396,1782788583.4005666,20.520540166879073,16.29700408909502,16.28365625,-0.006503200606090331,0.0,0.0,0.23647025227546692,False,False,16.34765625,0.04541015625,0.000656861811876297,
397,1782788583.4526544,20.572456632973626,16.308451649507493,16.371546875,0.011447560412477742,0.087890625,0.0,-20.400452613830566,False,False,16.435546875,0.045654296875,-0.05666792392730713,
398,1782788583.5046666,20.624244523933157,16.329121645378837,16.371546875,0.020669995871344327,0.0,0.0,-0.08271866594441235,False,False,16.435546875,0.045654296875,-0.00022977407206781209,
399,1782788583.5563586,20.67604323104024,16.34302015060273,16.371546875,0.013898505223892244,0.0,0.0,0.1667214184999466,False,False,16.435546875,0.045654296875,0.00046311505138874054,
400,1782788583.6081576,20.72796873282641,16.336545193015276,16.28365625,-0.0064749575874429866,-0.087890625,0.0,-0.07200071588158607,False,False,16.34765625,0.04541015625,-0.00020000198855996132,
401,1782788583.6601121,20.779818476876244,16.319218775283474,16.28365625,-0.017326417731794663,0.0,0.0,6.2848301231861115,False,False,16.34765625,0.04541015625,0.017457861453294754,
