i,t_rel,error,display_position_deg,filtered_position_deg,measured_position_deg,velocity_deg_per_sec,raw_velocity_deg_per_sec,raw_position_deg,pos_estimate,pending_confirmation,glitch_rejected,display_delta_deg,filtered_delta_deg,measured_delta_deg
481,24.936742413090542,,16.28365625,16.324603080068684,16.28365625,0.0,0.04654839634895325,16.34765625,0.04541015625,False,False,0.0,-0.019949704834175463,0.0
482,24.98867720202543,,16.28365625,16.31118889853818,16.28365625,0.0,1.1489322781562805,16.34765625,0.04541015625,False,False,0.0,-0.013414181530492897,0.0
483,25.040781546151266,,16.28365625,16.30216920287707,16.28365625,0.0,0.03581419587135315,16.34765625,0.04541015625,False,False,0.0,-0.009019695661095284,0.0
484,25.092784150037915,,16.28365625,16.29610435951454,16.28365625,0.0,4.861108213663101,16.34765625,0.04541015625,False,False,0.0,-0.006064843362537431,0.0
485,25.144769327016547,,16.28365625,16.30784667133758,16.371546875,0.0,-0.02587728464277461,16.435546875,0.045654296875,False,False,0.0,0.011742311823041973,0.087890625
486,25.196721764979884,,16.28365625,16.32871485805739,16.371546875,0.0,1.3930059224367142,16.435546875,0.045654296875,False,False,0.0,0.0208681867198095,0.0
487,25.24868772015907,,16.28365625,16.32692631430779,16.28365625,0.0,1.8221600353717804,16.34765625,0.04541015625,False,False,0.0,-0.001788543749597693,-0.087890625
488,25.300617158180103,,16.28365625,16.312751041240556,16.28365625,0.0,0.8377886563539505,16.34765625,0.04541015625,False,False,0.0,-0.01417527306722377,0.0
489,25.352698483038694,,16.28365625,16.30321958763015,16.28365625,0.0,0.04384540021419525,16.34765625,0.04541015625,False,False,0.0,-0.00953145361040697,0.0
490,25.404589273035526,,16.28365625,16.296810638222514,16.28365625,0.0,0.03847494721412659,16.34765625,0.04541015625,False,False,0.0,-0.0064089494076426945,0.0
491,25.45665187598206,,16.28365625,16.292501260640815,16.28365625,0.0,0.04651017487049103,16.34765625,0.04541015625,False,False,0.0,-0.004309377581705576,0.0
492,25.50866335001774,,16.28365625,16.289603635154887,16.28365625,0.0,8.050211817026138,16.34765625,0.04541015625,False,False,0.0,-0.0028976254859287565,0.0
493,25.560688991099596,,16.28365625,16.303475584278146,16.371546875,0.0,-0.05274162220302969,16.435546875,0.045654296875,False,False,0.0,0.0138719491232564,0.087890625
494,25.61258746520616,,16.28365625,16.325775739118626,16.371546875,0.0,-0.08225732075516135,16.435546875,0.045654296875,False,False,0.0,0.022300154840479536,0.0
495,25.664378978079185,,16.28365625,16.311977394483364,16.28365625,0.0,0.8833332359790802,16.34765625,0.04541015625,False,False,0.0,-0.013798344635262083,-0.087890625
496,25.71621708199382,,16.28365625,16.302699387550614,16.28365625,0.0,0.03575518727302551,16.34765625,0.04541015625,False,False,0.0,-0.009278006932760263,0.0
497,25.76797768706456,,16.28365625,16.32525382443903,16.371546875,0.0,-0.020577238319674507,16.435546875,0.045654296875,False,False,0.0,0.022554436888412965,0.087890625
498,25.81979418103583,,16.28365625,16.340419427802804,16.371546875,0.0,9.383231475949287,16.435546875,0.045654296875,False,False,0.0,0.015165603363783475,0.0
499,25.871612027054653,,16.28365625,16.350616779504602,16.371546875,0.0,0.9986358694732189,16.435546875,0.045654296875,False,False,0.0,0.010197351701805246,0.0
500,25.92341713211499,,16.28365625,16.357473478788894,16.371546875,0.0,-0.08229688333813101,16.435546875,0.045654296875,False,False,0.0,0.006856699284298884,0.0
501,25.975201330147684,,16.28365625,16.36208392338765,16.371546875,0.0,3.50380752235651,16.435546875,0.045654296875,False,False,0.0,0.0046104445987680265,0.0
502,26.027223007986322,,16.28365625,16.366329306295405,16.371546875,0.0,0.08129842579364777,16.435546875,0.045654296875,False,False,0.0,0.004245382907754447,0.0
503,26.07936255610548,,16.28365625,16.36803858180303,16.371546875,0.0,-0.05281538295093924,16.435546875,0.045654296875,False,False,0.0,0.001709275507636221,0.0
504,26.13132532709278,,16.28365625,16.36918789865436,16.371546875,0.0,-0.08232638763729483,16.435546875,0.045654296875,False,False,0.0,0.001149316851325466,0.0
505,26.183238764991984,,16.28365625,16.35414038680519,16.28365625,0.0,10.807430818676949,16.34765625,0.04541015625,False,False,0.0,-0.01504751184916131,-0.087890625
506,26.235195962013677,,16.28365625,16.331049783587808,16.28365625,0.0,-2.7538229897618294,16.34765625,0.04541015625,False,False,0.0,-0.023090603217383432,0.0
507,26.287231140071526,,16.28365625,16.31552366198444,16.28365625,0.0,0.04640355706214905,16.34765625,0.04541015625,False,False,0.0,-0.015526121603357979,0.0
508,26.339343114057556,,16.28365625,16.30508389781834,16.28365625,0.0,3.042431026697159,16.34765625,0.04541015625,False,False,0.0,-0.010439764166108034,0.0
509,26.39141873619519,,16.28365625,16.298064200393046,16.28365625,0.0,0.035674721002578735,16.34765625,0.04541015625,False,False,0.0,-0.007019697425278082,0.0
510,26.443365229060873,,16.28365625,16.306316812094288,16.28365625,0.0,0.04372067749500275,16.34765625,0.04541015625,False,False,0.0,0.00825261170123781,0.0
511,26.495348611148074,,16.28365625,16.3147135244522,16.371546875,0.0,8.868182972073555,16.435546875,0.045654296875,False,False,0.0,0.008396712357921388,0.087890625
512,26.547380808042362,,16.28365625,16.333332130091662,16.371546875,0.0,0.06515756249427795,16.435546875,0.045654296875,False,False,0.0,0.018618605639460384,0.0
513,26.59946402302012,,16.28365625,16.345851280523632,16.371546875,0.0,1.1755860596895218,16.435546875,0.045654296875,False,False,0.0,0.01251915043195595,0.0
514,26.651499201077968,,16.28365625,16.35426915727409,16.371546875,0.0,-0.08237533795181662,16.435546875,0.045654296875,False,False,0.0,0.008417876750456799,0.0
515,26.703418324002996,,16.28365625,16.344109025101098,16.28365625,0.0,0.30922718346118927,16.34765625,0.04541015625,False,False,0.0,-0.010160132172984504,-0.087890625
516,26.755574668059126,,16.28365625,16.340125008477976,16.371546875,0.0,-0.0823746673995629,16.435546875,0.045654296875,False,False,0.0,-0.0039840166231215335,0.087890625
517,26.807409384055063,,16.28365625,16.35041881195059,16.371546875,0.0,0.027586519718170166,16.435546875,0.045654296875,False,False,0.0,0.010293803472620766,0.0
518,26.85937330313027,,16.28365625,16.357340365405577,16.371546875,0.0,-0.036793875333387405,16.435546875,0.045654296875,False,False,0.0,0.006921553454986906,0.0
519,26.911175279179588,,16.28365625,16.363713860217942,16.371546875,0.0,-0.08239679562393576,16.435546875,0.045654296875,False,False,0.0,0.006373494812351055,0.0
520,26.963383438065648,,16.28365625,16.36627995586054,16.371546875,0.0,-0.06363139080349356,16.435546875,0.045654296875,False,False,0.0,0.0025660956426065695,0.0
521,27.015407543163747,,16.28365625,16.368005398570624,16.371546875,0.0,-1.1016526445746422,16.435546875,0.045654296875,False,False,0.0,0.0017254427100965586,0.0
522,27.067934181075543,,16.28365625,16.369165586248887,16.371546875,0.0,-0.08242361771408468,16.435546875,0.045654296875,False,False,0.0,0.0011601876782663112,0.0
523,27.120071785058826,,16.28365625,16.369945696443754,16.371546875,0.0,-0.08242898213211447,16.435546875,0.045654296875,False,False,0.0,0.0007801101948530231,0.0
524,27.171983872074634,,16.28365625,16.370470242538783,16.371546875,0.0,7.060288265347481,16.435546875,0.045654296875,False,False,0.0,0.0005245460950220604,0.0
525,27.224169531138614,,16.28365625,16.370822947333075,16.371546875,0.0,-0.08244306372944266,16.435546875,0.045654296875,False,False,0.0,0.0003527047942952777,0.0
526,27.27648452320136,,16.28365625,16.371060106036758,16.371546875,0.0,-0.08244507538620383,16.435546875,0.045654296875,False,False,0.0,0.00023715870366913805,0.0
527,27.32878297707066,,16.28365625,16.342426602799115,16.28365625,0.0,-0.0663519836962223,16.34765625,0.04541015625,False,False,0.0,-0.0286335032376428,-0.087890625
528,27.382820329163224,,16.28365625,16.323173435222127,16.28365625,0.0,0.043620765209198,16.34765625,0.04541015625,False,False,0.0,-0.019253167576977148,0.0
529,27.43461788003333,,16.28365625,16.326047917843358,16.371546875,0.0,0.6632090359926224,16.435546875,0.045654296875,False,False,0.0,0.002874482621223251,0.087890625
530,27.486741891130805,,16.28365625,16.340953376207874,16.371546875,0.0,-0.0717216037446633,16.435546875,0.045654296875,False,False,0.0,0.014905458364523838,0.0
531,27.538864995120093,,16.28365625,16.35097580641217,16.371546875,0.0,0.46470411121845245,16.435546875,0.045654296875,False,False,0.0,0.010022430204287502,0.0
532,27.59136785613373,,16.28365625,16.341894575981538,16.28365625,0.0,-0.06637344136834145,16.34765625,0.04541015625,False,False,0.0,-0.009081230430638243,-0.087890625
533,27.644008364062756,,16.28365625,16.315766999319788,16.28365625,0.0,0.038233548402786255,16.34765625,0.04541015625,False,False,0.0,-0.02612757666173593,0.0
534,27.696170875104144,,16.28365625,16.305247517842627,16.28365625,0.0,0.038233548402786255,16.34765625,0.04541015625,False,False,0.0,-0.010519481477160753,0.0
535,27.74834355316125,,16.28365625,16.298174218497383,16.28365625,0.0,0.0382174551486969,16.34765625,0.04541015625,False,False,0.0,-0.007073299345250916,0.0
536,27.80060089705512,,16.28365625,16.293418132017642,16.28365625,0.0,0.08649855852127075,16.34765625,0.04541015625,False,False,0.0,-0.004756086479744681,0.0
537,27.852827611146495,,16.28365625,16.290220139468662,16.28365625,0.0,10.48005111515522,16.34765625,0.04541015625,False,False,0.0,-0.003197992548990669,0.0
538,27.90496278903447,,16.28365625,16.288069809278728,16.28365625,0.0,0.04357181489467621,16.34765625,0.04541015625,False,False,0.0,-0.0021503301899201688,0.0
539,27.957054950064048,,16.28365625,16.286623927259015,16.28365625,0.0,0.04357181489467621,16.34765625,0.04541015625,False,False,0.0,-0.0014458820197091882,0.0
540,28.009029259206727,,16.28365625,16.285651716188962,16.28365625,0.0,0.04355974495410919,16.34765625,0.04541015625,False,False,0.0,-0.0009722110700636222,0.0
541,28.061008827062324,,16.28365625,16.284998001465457,16.28365625,0.0,1.2720121443271637,16.34765625,0.04541015625,False,False,0.0,-0.0006537147235121665,0.0
542,28.113190801115707,,16.28365625,16.284558443685377,16.28365625,0.0,0.03819599747657776,16.34765625,0.04541015625,False,False,0.0,-0.00043955778008353263,0.0
543,28.16509246197529,,16.28365625,16.28426288503405,16.28365625,0.0,0.03819599747657776,16.34765625,0.04541015625,False,False,0.0,-0.00029555865131669634,0.0
544,28.21725832601078,,16.28365625,16.312857120146894,16.371546875,0.0,-0.08250944840256125,16.435546875,0.045654296875,False,False,0.0,0.02859423511284831,0.087890625
545,28.26941530010663,,16.28365625,16.33208388383677,16.371546875,0.0,0.03817923367023468,16.435546875,0.045654296875,False,False,0.0,0.019226763689886184,0.0
546,28.32149651600048,,16.28365625,16.345011959741843,16.371546875,0.0,1.9827760756015778,16.435546875,0.045654296875,False,False,0.0,0.01292807590508005,0.0
547,28.373682713136077,,16.28365625,16.324911829230416,16.28365625,0.0,0.035486966371536255,16.34765625,0.04541015625,False,False,0.0,-0.02010013051142323,-0.087890625
548,28.425733188167214,,16.28365625,16.311396501474533,16.28365625,0.0,0.035486966371536255,16.34765625,0.04541015625,False,False,0.0,-0.013515327755897033,0.0
549,28.477744663134217,,16.28365625,16.302308795091477,16.28365625,0.0,0.5129195004701614,16.34765625,0.04541015625,False,False,0.0,-0.009087706383070326,0.0
550,28.52991278609261,,16.28365625,16.309760978982,16.371546875,0.0,2.0122475177049637,16.435546875,0.045654296875,False,False,0.0,0.007452183890507058,0.087890625
551,28.582013705046847,,16.28365625,16.33000203851749,16.371546875,0.0,-0.08256309782154858,16.435546875,0.045654296875,False,False,0.0,0.020241059535493378,0.0
552,28.63399410713464,,16.28365625,16.343612126949164,16.371546875,0.0,-0.08256846223957837,16.435546875,0.045654296875,False,False,0.0,0.013610088431676104,0.0
553,28.68606171105057,,16.28365625,16.352763550410614,16.371546875,0.0,13.336507827043533,16.435546875,0.045654296875,False,False,0.0,0.009151423461446484,0.0
554,28.737966280197725,,16.28365625,16.358916967546097,16.371546875,0.0,-0.08258857880719006,16.435546875,0.045654296875,False,False,0.0,0.006153417135493555,0.0
555,28.789809979032725,,16.28365625,16.347234212727997,16.28365625,0.0,1.9666177779436111,16.34765625,0.04541015625,False,False,0.0,-0.011682754818110652,-0.087890625
556,28.841662251157686,,16.28365625,16.342226384638302,16.371546875,0.0,1.0653921961784363,16.435546875,0.045654296875,False,False,0.0,-0.005007828089702571,0.087890625
557,28.89335363614373,,16.28365625,16.351831777280797,16.371546875,0.0,4.595171883702278,16.435546875,0.045654296875,False,False,0.0,0.0096053926424986,0.0
558,28.945204650051892,,16.28365625,16.342470130793604,16.28365625,0.0,4.9170369654893875,16.34765625,0.04541015625,False,False,0.0,-0.009361646487207054,-0.087890625
559,28.997008683159947,,16.28365625,16.32320270344562,16.28365625,0.0,0.03540113568305969,16.34765625,0.04541015625,False,False,0.0,-0.019267427347983812,0.0
560,29.048959548119456,,16.28365625,16.310247285296835,16.28365625,0.0,0.04612930119037628,16.34765625,0.04541015625,False,False,0.0,-0.012955418148777653,0.0
561,29.10086922813207,,16.28365625,16.317356374633594,16.371546875,0.0,-0.028970542189199477,16.435546875,0.045654296875,False,False,0.0,0.00710908933675114,0.087890625
562,29.15285348217003,,16.28365625,16.335109182553634,16.371546875,0.0,-0.08261674200184643,16.435546875,0.045654296875,False,False,0.0,0.017752807920032865,0.0
563,29.204754068981856,,16.28365625,16.34704617059906,16.371546875,0.0,0.6415696442127228,16.435546875,0.045654296875,False,False,0.0,0.011936988045420094,0.0
564,29.25661241612397,,16.28365625,16.355072601360806,16.371546875,0.0,-0.04776411282364279,16.435546875,0.045654296875,False,False,0.0,0.008026430761731262,0.0
565,29.308605522150174,,16.28365625,16.36046957340501,16.371546875,0.0,-0.08264356409199536,16.435546875,0.045654296875,False,False,0.0,0.005396972044195536,0.0
566,29.360423351172358,,16.28365625,16.36409849740753,16.371546875,0.0,-0.08265429292805493,16.435546875,0.045654296875,False,False,0.0,0.003628924002526901,0.0
567,29.412238902179524,,16.28365625,16.356802499818595,16.371546875,0.0,-0.07730596291366965,16.435546875,0.045654296875,False,False,0.0,-0.007295997588926184,0.0
568,29.46432954398915,,16.28365625,16.361632757128024,16.371546875,0.0,0.37597663700580597,16.435546875,0.045654296875,False,False,0.0,0.004830257309436092,0.0
569,29.516417797189206,,16.28365625,16.349060309642883,16.28365625,0.0,-0.07463984191417694,16.34765625,0.04541015625,False,False,0.0,-0.012572447485126759,-0.087890625
570,29.568363866070285,,16.28365625,16.327633939703876,16.28365625,0.0,-0.07463984191417694,16.34765625,0.04541015625,False,False,0.0,-0.021426369939007373,0.0
571,29.62021088018082,,16.28365625,16.313226848556887,16.28365625,0.0,1.3925237953662872,16.34765625,0.04541015625,False,False,0.0,-0.014407091146978246,0.0
572,29.671932246070355,,16.28365625,16.303539520469652,16.28365625,0.0,0.03800824284553528,16.34765625,0.04541015625,False,False,0.0,-0.009687328087238711,0.0
573,29.72362081706524,,16.28365625,16.31284607356379,16.371546875,0.0,0.019227415323257446,16.435546875,0.045654296875,False,False,0.0,0.00930655309414874,0.087890625
