i,t_rel,axis0.pos_estimate,axis0.vel_estimate,axis0.pos_vel_mapper.pos_rel,axis0.pos_vel_mapper.pos_abs,axis0.pos_vel_mapper.vel,axis0.pos_vel_mapper.working_offset,encoder_estimator0.pos_estimate,encoder_estimator0.vel_estimate,spi_encoder0.raw,spi_encoder0.n_errors,spi_encoder0.status,spi_encoder0.warning,onboard_encoder0.raw,onboard_encoder0.status,axis0.active_errors,axis0.pos_estimate.delta,axis0.pos_vel_mapper.pos_rel.delta,encoder_estimator0.pos_estimate.delta,spi_encoder0.raw.delta,onboard_encoder0.raw.delta
46,2.4903029040433466,0.05107593536376953,-1.2014439105987549,0.05519801378250122,,0.46787363290786743,0.0,0.9963724613189697,0.5441675782203674,0.9963836669921875,0.0,0.0,0.0,0.01165771484375,0.0,268435969.0,-0.005929291248321533,-0.001769423484802246,-6.300210952758789e-05,0.0,-0.15740966796875
47,2.544521024217829,0.056889891624450684,0.02722388505935669,0.056882500648498535,,0.007576704025268555,0.0,0.996386706829071,0.004387855529785156,0.9963836669921875,0.0,0.0,0.0,0.75103759765625,0.0,268435969.0,0.005813956260681152,0.0016844868659973145,1.424551010131836e-05,0.0,0.7393798828125
48,2.5996441941242665,0.056869566440582275,-0.0002316832687938586,0.056869566440582275,,-0.0002316832687938586,0.0,0.9905169606208801,-1.316123604774475,0.9963836669921875,0.0,0.0,0.0,0.640380859375,0.0,268435969.0,-2.0325183868408203e-05,-1.2934207916259766e-05,-0.005869746208190918,0.0,-0.11065673828125
49,2.65391896199435,0.056869566440582275,3.600120544433594e-05,0.056869566440582275,,-8.702279046701733e-06,0.0,0.9963837265968323,-5.340576535672881e-05,0.9963836669921875,0.0,0.0,0.0,0.67462158203125,0.0,268435969.0,0.0,0.0,0.0058667659759521484,0.0,0.03424072265625
50,2.7079405640251935,0.056869566440582275,0.00011789798736572266,0.056869566440582275,,7.319450378417969e-05,0.0,0.9963837265968323,2.849102020263672e-05,0.9963836669921875,0.0,0.0,0.0,0.57293701171875,0.0,268435969.0,0.0,0.0,0.0,0.0,-0.1016845703125
51,2.7620271102059633,0.05693197250366211,0.08789312839508057,0.056910693645477295,,0.05137038230895996,0.0,0.9890416860580444,-1.8978731632232666,0.9963836669921875,0.0,0.0,0.0,0.84051513671875,0.0,268435969.0,6.240606307983398e-05,4.112720489501953e-05,-0.007342040538787842,0.0,0.267578125
52,2.816156138200313,0.056889891624450684,0.029830873012542725,0.056882500648498535,,0.015734374523162842,0.0,0.9963899850845337,0.009088456630706787,0.9963836669921875,0.0,0.0,0.0,0.59979248046875,0.0,268435969.0,-4.208087921142578e-05,-2.8192996978759766e-05,0.007348299026489258,0.0,-0.24072265625
53,2.870151611045003,0.056878507137298584,0.013112068176269531,0.056875765323638916,,0.007606089115142822,0.0,0.996386706829071,0.0044097900390625,0.9963836669921875,0.0,0.0,0.0,0.0504150390625,0.0,268435969.0,-1.138448715209961e-05,-6.735324859619141e-06,-3.2782554626464844e-06,0.0,-0.54937744140625
54,2.9241629540920258,0.056869566440582275,-0.00022447110677603632,0.056869566440582275,,-0.00023192168737296015,0.0,0.9963837265968323,-0.00023192168737296015,0.9963836669921875,0.0,0.0,0.0,0.14947509765625,0.0,268435969.0,-8.940696716308594e-06,-6.198883056640625e-06,-2.9802322387695312e-06,0.0,0.09906005859375
55,2.9782915741670877,0.056898534297943115,0.042877256870269775,0.056889891624450684,,0.024854302406311035,0.0,0.9963935613632202,0.014371335506439209,0.9963836669921875,0.0,0.0,0.0,0.0205078125,0.0,268435969.0,2.8967857360839844e-05,2.0325183868408203e-05,9.834766387939453e-06,0.0,-0.12896728515625
