i,t,axis_pos,mapper_pos,estimator_pos,spi_raw,spi_errors,spi_status,axis_pos_d,mapper_pos_d,estimator_pos_d,spi_raw_d,dt
1249,15.125509118195623,0.05749845504760742,0.057497620582580566,0.9970113635063171,0.99700927734375,0,0,3.337860107421875e-06,2.5033950805664062e-06,2.086162567138672e-06,0.0,0.012222851160913706
1250,15.137503338977695,0.0574951171875,0.0574951171875,0.99700927734375,0.99700927734375,0,0,-3.337860107421875e-06,-2.5033950805664062e-06,-2.086162567138672e-06,0.0,0.011994220782071352
1251,15.149679338093847,0.05279338359832764,0.05523616075515747,0.9960228204727173,0.99700927734375,0,0,-0.004701733589172363,-0.0022589564323425293,-0.0009864568710327148,0.0,0.012175999116152525
1252,15.161847613984719,0.0574953556060791,0.0574953556060791,0.9970095157623291,0.99700927734375,0,0,0.004701972007751465,0.002259194850921631,0.0009866952896118164,0.0,0.012168275890871882
1253,15.174027724191546,0.0574951171875,0.0574951171875,0.99700927734375,0.99700927734375,0,0,-2.384185791015625e-07,-2.384185791015625e-07,-2.384185791015625e-07,0.0,0.012180110206827521
1254,15.186193797038868,0.05750608444213867,0.057503461837768555,0.997015655040741,0.99700927734375,0,0,1.0967254638671875e-05,8.344650268554688e-06,6.377696990966797e-06,0.0,0.01216607284732163
1255,15.198257351992652,0.05749523639678955,0.05749523639678955,0.9970093965530396,0.99700927734375,0,0,-1.0848045349121094e-05,-8.225440979003906e-06,-6.258487701416016e-06,0.0,0.01206355495378375
1256,15.211314587155357,0.0574951171875,0.0574951171875,0.99700927734375,0.99700927734375,0,0,-1.1920928955078125e-07,-1.1920928955078125e-07,-1.1920928955078125e-07,0.0,0.013057235162705183
1257,15.223669696133584,0.057509541511535645,0.05750608444213867,0.9970175623893738,0.99700927734375,0,0,1.4424324035644531e-05,1.0967254638671875e-05,8.285045623779297e-06,0.0,0.012355108978226781
1258,15.235824824078009,0.05760139226913452,0.057581186294555664,0.9970831871032715,0.99700927734375,0,0,9.185075759887695e-05,7.510185241699219e-05,6.562471389770508e-05,0.0,0.012155127944424748
