i,t_rel,timestamp,pos_estimate,vel_estimate,raw_position_deg,filtered_position_deg,position_deg,measured_position_deg,velocity_deg_per_sec,raw_velocity_deg_per_sec,current,pos_estimate_delta,raw_position_delta_deg,position_delta_deg,error
32,1.6597223430871964,2026-06-30T15:04:19.686+07:00,0.04830974340438843,0.06563067436218262,28.985846042633057,28.867829922312197,28.867829922312197,28.921846042633057,0.10419635309073072,39.37840461730957,0.0,9.09566879272461e-05,0.054574012756347656,0.04423485256589288,
33,1.7114313570782542,2026-06-30T15:04:19.737+07:00,0.044586896896362305,-0.026041490957140923,26.752138137817383,28.12700597799424,28.12700597799424,26.688138137817383,-10.10056599534269,-15.624894574284554,0.0,-0.003722846508026123,-2.233707904815674,-0.7408239443179525,
34,1.7633483891841024,2026-06-30T15:04:19.785+07:00,0.04880023002624512,0.008663088083267212,29.28013801574707,28.733003569747055,28.733003569747055,29.21613801574707,2.8245255252306274,5.197852849960327,0.0,0.0042133331298828125,2.5279998779296875,0.6059975917528106,
35,1.8150660141836852,2026-06-30T15:04:19.836+07:00,0.04933822154998779,0.3821902573108673,29.602932929992676,29.155933269645057,29.155933269645057,29.538932929992676,6.05049272791115,229.31415438652039,0.0,0.0005379915237426758,0.32279491424560547,0.4229296998979919,
36,1.8667797131929547,2026-06-30T15:04:19.885+07:00,0.049797236919403076,0.11254608631134033,29.878342151641846,28.938450660318313,28.938450660318313,29.814342151641846,4.593595187365098,67.5276517868042,0.0,0.0004590153694152832,0.2754092216491699,-0.21748260932673702,
37,1.9184246722143143,2026-06-30T15:04:19.938+07:00,0.04704207181930542,-0.09572026133537292,28.225243091583252,28.89011769964069,28.89011769964069,28.161243091583252,-0.5331833569963669,-57.432156801223755,0.0,-0.0027551651000976562,-1.6530990600585938,-0.04833296067761239,
38,1.9701770741958171,2026-06-30T15:04:19.988+07:00,0.050891995429992676,0.01344519853591919,30.535197257995605,29.757979203586853,29.757979203586853,30.471197257995605,9.616366277863497,8.067119121551514,0.0,0.003849923610687256,2.3099541664123535,0.867861503946159,
39,2.0217893661465496,2026-06-30T15:04:20.036+07:00,0.05157923698425293,0.01384037733078003,30.947542190551758,30.37243735992734,30.37243735992734,30.883542190551758,11.264356925553486,8.304226398468018,0.0,0.0006872415542602539,0.41234493255615234,0.6144581563404756,
40,2.0735776210203767,2026-06-30T15:04:20.086+07:00,0.052244603633880615,0.01462244987487793,31.34676218032837,30.870178258776225,30.870178258776225,31.28276218032837,10.497745800693355,8.773469924926758,0.0,0.0006653666496276855,0.39921998977661133,0.49774089884888895,
41,2.1253250420559198,2026-06-30T15:04:20.137+07:00,0.05145138502120972,0.4528428614139557,30.87083101272583,30.994460888664236,30.994460888664236,30.80683101272583,4.742660879703395,271.7057168483734,0.0,-0.0007932186126708984,-0.47593116760253906,0.12428262988800043,
42,2.176915464224294,2026-06-30T15:04:20.187+07:00,0.05371403694152832,-3.469180107116699,32.22842216491699,31.617912731480235,31.617912731480235,32.16442216491699,9.078684679735698,-2081.5080642700195,0.0,0.0022626519203186035,1.357591152191162,0.6234518428159959,
43,2.2288294211030006,2026-06-30T15:04:20.237+07:00,0.05453360080718994,0.015516042709350586,32.720160484313965,32.1617608397266,32.1617608397266,32.656160484313965,10.140944351845105,9.309625625610352,0.0,0.0008195638656616211,0.49173831939697266,0.5438481082463511,
44,2.2804624910932034,2026-06-30T15:04:20.287+07:00,0.05546391010284424,0.33779090642929077,33.27834606170654,32.69738895942887,32.69738895942887,33.21434606170654,10.59438228545857,202.67454385757446,0.0,0.0009303092956542969,0.5581855773925781,0.5356281197022668,
45,2.3322258382104337,2026-06-30T15:04:20.362+07:00,0.0564156174659729,0.05856585502624512,33.84937047958374,33.369830652937885,33.369830652937885,33.78537047958374,9.518637000607075,35.13951301574707,0.0,0.0009517073631286621,0.5710244178771973,0.6724416935090289,
46,2.3838246860541403,2026-06-30T15:04:20.412+07:00,0.05708104372024536,0.016864657402038574,34.24862623214722,33.793446455750974,33.793446455750974,34.18462623214722,8.83701903182327,10.118794441223145,0.0,0.0006654262542724609,0.39925575256347656,0.42361580281308875,
47,2.435519070131704,2026-06-30T15:04:20.462+07:00,0.05775797367095947,0.01106792688369751,34.654784202575684,34.21808604678811,34.21808604678811,34.59078420257568,8.710773041581795,6.640756130218506,0.0,0.0006769299507141113,0.4061579704284668,0.4246395910371348,
48,2.487150621134788,2026-06-30T15:04:20.512+07:00,0.05850034952163696,0.22647184133529663,35.10020971298218,34.632794758565126,34.632794758565126,35.03620971298218,8.549996483063374,135.88310480117798,0.0,0.0007423758506774902,0.44542551040649414,0.41470871177702406,
49,2.5391573011875153,2026-06-30T15:04:20.564+07:00,0.05904048681259155,0.14330798387527466,35.42429208755493,35.008900386018674,35.008900386018674,35.36029208755493,8.013172794672553,85.9847903251648,0.0,0.0005401372909545898,0.3240823745727539,0.3761056274535406,
50,2.5910335921216756,2026-06-30T15:04:20.614+07:00,0.05952191352844238,0.06653702259063721,35.71314811706543,35.37246006484917,35.37246006484917,35.64914811706543,7.410948446879203,39.922213554382324,0.0,0.0004814267158508301,0.28885602951049805,0.3635596788304838,
51,2.6428144951350987,2026-06-30T15:04:20.664+07:00,0.05920332670211792,0.5199651718139648,35.52199602127075,35.49694453757791,35.49694453757791,35.45799602127075,4.081002263972357,311.9791030883789,0.0,-0.0003185868263244629,-0.19115209579467773,0.12448447272873864,
52,2.6943913982249796,2026-06-30T15:04:20.713+07:00,0.0592421293258667,1.186187505722046,35.54527759552002,35.61009197336332,35.61009197336332,35.48127759552002,2.2561223686111282,711.7125034332275,0.0,3.88026237487793e-05,0.023281574249267578,0.11314743578540742,
53,2.7461712080985308,2026-06-30T15:04:20.765+07:00,-0.0018631219863891602,0.007776320446282625,-1.117873191833496,22.88888639066011,22.88888639066011,358.8181268081665,-185.10885437919404,4.665792267769575,0.0,-0.06110525131225586,-36.663150787353516,-12.721205582703192,
54,2.797882352024317,2026-06-30T15:04:20.815+07:00,-0.0013734102249145508,0.008133946917951107,-0.8240461349487305,9.124065356482056,9.124065356482056,359.11195386505125,-230.09727595815963,4.880368150770664,0.0,0.0004897117614746094,0.2938270568847656,-13.764821034178055,
55,2.849901828216389,2026-06-30T15:04:20.866+07:00,-0.000955045223236084,0.008610786870121956,-0.5730271339416504,3.460917774084347,3.460917774084347,359.3629728660583,-158.8791075919235,5.1664721220731735,0.0,0.0004183650016784668,0.2510190010070801,-5.663147582397698,
