i,t_rel,error,timestamp,pos_estimate,raw_position_deg,measured_position_deg,filtered_position_deg,position_deg,vel_estimate,velocity_deg_per_sec,raw_velocity_deg_per_sec,pos_estimate_scaled_deg_0p06,pos_estimate_mod_0p06,pos_estimate_delta,raw_position_deg_delta,measured_position_deg_delta,filtered_position_deg_delta,position_deg_delta,velocity_deg_per_sec_delta,raw_velocity_deg_per_sec_delta
1351,70.06833014683798,,2026-06-30T15:12:40.417+07:00,0.05701714754104614,342.10288524627686,342.03888524627683,341.44925116366596,341.44925116366596,0.3292694091796875,11.815879514904474,1975.616455078125,342.10288524627686,0.05701714754104614,8.875131607055664e-05,0.5325078964233398,0.5325078964233398,0.5654310482836991,0.5654310482836991,-0.07492928444461455,1437.2620582580566
1352,70.12012117588893,,2026-06-30T15:12:40.467+07:00,0.056869566440582275,341.21739864349365,341.15339864349363,341.2793726573479,341.2793726573479,-0.00023245812917593867,3.136784628422832,-1.394748775055632,341.21739864349365,0.056869566440582275,-0.0001475811004638672,-0.8854866027832031,-0.8854866027832031,-0.16987850631807078,-0.16987850631807078,-8.679094886481641,-1977.0112038531806
1353,70.17195774195716,,2026-06-30T15:12:40.517+07:00,0.056869566440582275,341.21739864349365,341.15339864349363,341.2112602037338,341.2112602037338,-0.00023961068654898554,0.5458754199507175,-1.4376641192939132,341.21739864349365,0.056869566440582275,0.0,0.0,0.0,-0.06811245361410556,-0.06811245361410556,-2.5909092084721146,-0.04291534423828125
1354,70.22378808585927,,2026-06-30T15:12:40.567+07:00,0.056869566440582275,341.21739864349365,341.15339864349363,341.1778451526951,341.1778451526951,8.809566497802734e-05,-0.14040442768729883,0.5285739898681641,341.21739864349365,0.056869566440582275,0.0,0.0,0.0,-0.03341505103867348,-0.03341505103867348,-0.6862798476380163,1.9662381091620773
1355,70.275598855922,,2026-06-30T15:12:40.617+07:00,0.0568697452545166,341.2184715270996,341.1544715270996,341.18175799669905,341.18175799669905,0.00043827295303344727,-0.1261783147942933,2.6296377182006836,341.2184715270996,0.0568697452545166,1.7881393432617188e-07,0.0010728836059570312,0.0010728836059570312,0.003912844003934879,0.003912844003934879,0.014226112893005516,2.1010637283325195
1356,70.32755816285498,,2026-06-30T15:12:40.668+07:00,0.056869566440582275,341.21739864349365,341.15339864349363,341.3547873420186,341.3547873420186,-0.00023239852453116328,0.737774156777264,-1.3943911471869797,341.21739864349365,0.056869566440582275,-1.7881393432617188e-07,-0.0010728836059570312,-0.0010728836059570312,0.1730293453195486,0.1730293453195486,0.8639524715715573,-4.024028865387663
1357,70.37938763597049,,2026-06-30T15:12:40.717+07:00,0.056869566440582275,341.21739864349365,341.15339864349363,341.23848536862045,341.23848536862045,-4.619360333890654e-05,-1.0017756458428047,-0.27716162003343925,341.21739864349365,0.056869566440582275,0.0,0.0,0.0,-0.1163019733981514,-0.1163019733981514,-1.7395498026200686,1.1172295271535404
1358,70.43122929497622,,2026-06-30T15:12:40.767+07:00,0.05463379621505737,327.80277729034424,327.7387772903442,333.59552411351876,333.59552411351876,0.040455155074596405,-85.22784972896079,242.73093044757843,327.80277729034424,0.05463379621505737,-0.0022357702255249023,-13.414621353149414,-13.414621353149414,-7.642961255101682,-7.642961255101682,-84.226074083118,243.00809206761187
1359,70.48280952800997,,2026-06-30T15:12:40.817+07:00,0.05694270133972168,341.6562080383301,341.59220803833006,338.1809022233697,338.1809022233697,0.11442476511001587,15.022492453980803,686.5485906600952,341.6562080383301,0.05694270133972168,0.0023089051246643066,13.85343074798584,13.85343074798584,4.585378109850922,4.585378109850922,100.2503421829416,443.8176602125168
1360,70.53494824189693,,2026-06-30T15:12:40.867+07:00,0.05701714754104614,342.10288524627686,342.03888524627683,340.216795656079,340.216795656079,0.3292696475982666,29.912623445685618,1975.6178855895996,342.10288524627686,0.05701714754104614,7.444620132446289e-05,0.44667720794677734,0.44667720794677734,2.035893432709315,2.035893432709315,14.890130991704815,1289.0692949295044
1361,70.58661962393671,,2026-06-30T15:12:40.918+07:00,0.056870460510253906,341.22276306152344,341.1587630615234,340.7732299647613,340.7732299647613,0.0014366507530212402,18.592538163673733,8.619904518127441,341.22276306152344,0.056870460510253906,-0.00014668703079223633,-0.880122184753418,-0.880122184753418,0.5564343086822987,0.5564343086822987,-11.320085282011885,-1966.9979810714722
1362,70.63854144886136,,2026-06-30T15:12:40.993+07:00,0.056869566440582275,341.21739864349365,341.15339864349363,340.8971764254358,340.8971764254358,-1.3709076256418484e-06,6.284384468407062,-0.00822544575385109,341.21739864349365,0.056869566440582275,-8.940696716308594e-07,-0.005364418029785156,-0.005364418029785156,0.12394646067451731,0.12394646067451731,-12.308153695266672,-8.628129963881292
1363,70.6903418849688,,2026-06-30T15:12:41.044+07:00,0.05696779489517212,341.8067693710327,341.7427693710327,341.2514245110029,341.2514245110029,0.161482572555542,7.077393888121987,968.895435333252,341.8067693710327,0.05696779489517212,9.822845458984375e-05,0.5893707275390625,0.5893707275390625,0.35424808556706466,0.35424808556706466,0.7930094197149256,968.9036607790058
1364,70.7420777848456,,2026-06-30T15:12:41.093+07:00,0.05689382553100586,341.36295318603516,341.29895318603513,341.2457586624058,341.2457586624058,0.03578382730484009,3.1334494064410388,214.70296382904053,341.36295318603516,0.05689382553100586,-7.396936416625977e-05,-0.4438161849975586,-0.4438161849975586,-0.00566584859706154,-0.00566584859706154,-3.9439444816809486,-754.1924715042114
